params,return,win_rate,trades,params_str
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",-3.9659003372998387,62.414965986394556,588,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",-4.870964817099869,55.4054054054054,518,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",-5.224537470349937,62.664714494875554,683,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}",-5.754572745349914,62.30283911671924,634,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",-6.204898008099794,62.227074235807855,916,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",-7.809840682149857,61.050328227571114,457,"{'rsi_window': 5, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}",-9.841089195899963,57.01559020044543,449,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}",-11.582245648399711,61.7533718689788,1038,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}",-12.165908889449804,61.18143459915611,711,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",-13.144939445899933,60.1113172541744,539,"{'rsi_window': 5, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
