SMA,Buy,Sell,MaxPos,MaxHold,Return,MDD,WinRate,Trades
110,24,80,3,40,2270.9724629234,-55.62497297792473,64.51612903225806,1209
70,24,76,3,40,2264.6436809992506,-51.09149718009874,63.358778625954194,1310
130,32,72,3,30,2262.0783282266502,-56.723190231312806,63.263888888888886,1440
110,24,72,3,25,2260.2063153000004,-59.43055432392035,63.98625429553264,1455
90,26,74,3,25,2255.74361191395,-39.81845605620556,63.38639652677279,1382
130,22,76,3,40,2248.2509462,-53.3072893573721,63.09246309246309,1287
90,24,72,3,30,2246.5432761502507,-48.633795859997264,63.89083275017495,1429
110,26,72,3,30,2234.6489465515992,-55.686381313078016,63.938973647711514,1442
110,20,76,3,20,2230.4901895360495,-58.97803391029716,64.8218347232752,1319
110,22,76,3,40,2229.1932545359487,-50.613462388811946,63.972286374133944,1299
70,28,72,3,40,2227.16783709705,-49.8923411847024,63.286713286713294,1430
110,28,72,3,30,2226.059236595249,-53.109842691191076,63.51633078526755,1439
70,26,74,3,40,2225.5319937480003,-49.180193540193514,62.763636363636365,1375
70,20,76,3,20,2224.6257903609,-57.23941348803593,63.46863468634686,1355
90,20,72,3,10,2223.1027718827995,-47.07658521953412,62.65356265356266,1628
130,22,76,3,30,2217.386300443699,-53.34046161951785,63.31269349845201,1292
110,26,76,3,20,2212.7367207106486,-61.04615910564194,64.42089326267978,1321
110,20,80,3,10,2212.3146934975994,-50.79610771137364,62.019230769230774,1456
90,32,78,3,10,2206.3097171007507,-51.56322215548962,60.994764397905755,1528
70,30,74,3,15,2205.1444119774496,-54.64803403602527,62.16968011126565,1438
110,22,76,3,20,2202.62711258275,-61.92488783518709,64.5185746777862,1319
70,22,78,3,15,2197.7283152622012,-55.4396237716644,62.28528752800597,1339
110,28,72,3,40,2195.4016773360486,-53.107505336075945,63.56050069541029,1438
110,24,76,3,40,2195.3116066768002,-50.614597313767874,64.02157164869028,1298
90,26,74,3,20,2188.92102818355,-44.349345778653905,63.54538956397426,1399
70,20,74,3,15,2185.3682459377987,-45.28646827853278,62.508759635599155,1427
70,22,78,5,15,2181.9341949766513,-39.764159090649684,61.50684931506849,2190
130,20,76,3,40,2181.4363742240002,-49.93249434710931,63.21122369446609,1283
90,22,72,3,30,2176.711838593651,-48.86230748856564,63.80885453267744,1423
110,20,80,3,40,2175.040948681649,-56.8607097127682,64.0533778148457,1199
90,28,72,3,20,2172.776521972453,-49.946430677369534,63.723477070499655,1461
70,28,72,3,30,2171.3639500310496,-49.47492391090651,63.24965132496513,1434
90,20,72,3,40,2170.0647428322513,-44.721096725711234,64.22535211267606,1420
130,20,76,3,30,2165.75804718445,-49.96820686443449,63.4600465477114,1289
110,26,72,3,40,2164.700653618549,-55.687279530260206,63.98334489937544,1441
110,28,72,3,25,2164.0006136012507,-53.30267005245568,63.56749311294766,1452
110,20,78,3,10,2155.8681587728515,-53.386937944318525,61.75882744836776,1501
110,30,80,3,10,2148.86077637915,-50.07297456131534,61.67008898015058,1461
110,22,78,3,10,2148.3879264062994,-53.92218767828692,61.625582944703524,1501
90,24,72,3,25,2142.6323784505994,-48.515210898381596,63.60473208072372,1437
130,22,72,3,40,2133.1488815618995,-53.42507814251748,63.286713286713294,1430
90,24,72,3,40,2132.866117292799,-51.23673360176555,63.78947368421053,1425
90,22,78,3,10,2127.2741913347504,-46.77481642100848,61.51315789473685,1520
90,32,72,3,30,2123.179373849949,-47.87385603951995,63.89664804469274,1432
70,22,74,3,15,2120.861376034899,-44.95769336948281,62.29852838121934,1427
110,20,76,3,40,2120.7521737772486,-50.42499534652046,64.1640866873065,1292
90,22,80,3,20,2118.019443680348,-49.69318776113041,64.27406199021208,1226
110,26,72,3,25,2117.1227653857995,-55.765539777381456,63.96148555708391,1454
70,28,76,3,40,2117.1166102828506,-57.05893834531972,63.177998472116116,1309
70,26,76,3,40,2116.29645408515,-55.26099419439496,63.149847094801224,1308
130,22,78,3,30,2113.820972711451,-62.587676700713736,63.46153846153846,1248
110,24,76,3,10,2108.4977942631003,-52.185939386135935,61.74934725848564,1532
150,22,76,5,15,2098.0749147973997,-45.61461452711151,62.88939051918736,2215
110,26,76,3,25,2091.2675406911003,-52.613967815403086,64.0,1300
90,22,72,3,25,2076.1094720799497,-48.51501333785052,63.52201257861635,1431
110,32,80,3,10,2075.9259979766,-50.07321427754859,61.696306429548564,1462
150,22,80,3,10,2075.194681390798,-52.27455541419157,61.1731843575419,1432
130,20,78,3,30,2074.9276417486003,-59.04980959898091,63.86217948717948,1248
110,20,76,3,15,2074.00442287575,-49.51343884960231,64.18672501823487,1371
90,20,74,3,40,2070.77755498695,-51.71656983378021,63.382352941176464,1360
70,32,74,3,15,2065.2625080749503,-54.29627191750348,62.1264767199444,1439
130,20,78,3,10,2063.6321498616985,-56.75130793779842,62.0,1500
130,24,72,3,40,2048.1889066050016,-52.28485178296952,63.20557491289198,1435
90,24,80,3,20,2046.0305923877509,-46.05750229679714,64.55284552845528,1230
70,24,72,3,40,2043.6743414617006,-49.95311421280213,63.52775825720309,1423
