SMA,Buy,Sell,Hold,Return,MDD,Win,Trades
120,15,60,20,576.8191402008725,-44.51074981781791,63.71638141809291,2045
200,30,65,20,576.8025347365284,-49.887822908292485,63.526081682167415,2473
50,10,70,40,575.7404013227616,-38.62105913858594,65.29284164859001,922
120,35,70,20,570.6195811547109,-52.78801997682842,62.22418358340689,2266
20,35,75,40,566.7806483857474,-51.738349097320494,63.697788697788695,1628
60,25,75,10,564.9310068105276,-60.08984353168344,51.58081705150976,2815
60,35,80,5,561.9753395373044,-57.40464969337826,48.179335457441965,4394
50,30,80,10,560.0700339229758,-54.739413507350896,49.41218382614891,2807
200,25,65,40,558.1005737510793,-47.87138501906685,63.549160671462836,2085
200,15,70,40,557.4865473061573,-45.26323922908312,62.89222373806276,1466
60,30,75,40,557.423508360126,-59.398799982988336,63.130659767141005,1546
50,10,70,20,556.8728970002894,-36.62392412997413,62.34693877551021,980
20,30,80,20,552.2412804612947,-55.228697903546376,56.48899188876014,1726
60,35,70,10,552.1409388504678,-60.49961080824763,54.54545454545454,3267
200,20,60,40,545.5500694061753,-49.481818563322285,63.98585947856827,2263
200,35,80,20,545.236888880821,-65.43437785091561,56.146369353916526,1749
200,10,80,20,545.121196392177,-43.89124199151764,55.33980582524271,1236
200,35,65,20,544.6848049809181,-45.979669083984966,63.282172373081465,2541
50,10,80,10,541.9587673721023,-37.988842052346946,49.90654205607476,1070
100,30,70,20,536.1396230022009,-49.91585557368907,62.55565449688335,2246
50,20,75,20,534.4475426988979,-43.387246597494496,59.00514579759862,1749
120,10,70,20,534.4447559177202,-41.43761624132119,61.01438304314913,1321
120,35,80,20,532.0762195282691,-44.56665155393684,55.52470849528039,1801
50,20,60,40,528.1977616992316,-58.61710545582353,64.86111111111111,2160
60,30,80,5,527.9583627577176,-57.96736836520612,48.5252808988764,4272
60,20,80,40,526.8404095380178,-48.7333565585693,62.43654822335025,1182
20,25,80,40,523.112945497057,-45.029233763297135,62.370242214532865,1156
200,30,60,20,518.5906938098524,-52.151698367739264,63.701836514223984,2777
60,30,70,40,513.3159113561084,-52.75650645053489,62.78195488721805,1862
50,35,75,40,512.4747615698748,-51.1513843569654,62.65060240963856,1577
120,30,75,10,511.65483298065294,-51.981022492602804,52.329869259135094,2983
20,25,80,10,509.76454389801785,-44.24390744635126,51.07421875,2048
100,10,80,20,509.3996990934596,-45.1685102248593,55.208333333333336,1152
120,15,70,40,508.33514293743275,-54.32011934361603,63.255494505494504,1456
100,10,75,20,507.0807001277476,-48.502768681938434,58.68312757201646,1215
60,30,70,10,505.66729511242494,-54.337327178828055,54.63754352643242,3159
50,25,75,10,504.5677691757495,-51.83203430632348,51.83982683982684,2772
50,10,75,40,500.851662282435,-39.51040756627397,62.455726092089726,847
100,20,75,10,500.19303524043704,-52.24751237905796,51.785028790786946,2605
100,20,65,20,499.5925921737716,-55.02032295657131,63.59489051094891,2192
60,10,65,40,495.9462293852026,-46.76176725585633,65.4494382022472,1068
200,15,65,40,495.7738946408019,-40.44497565442412,63.3177570093458,1712
200,10,65,20,495.1940161095376,-45.30238748123181,62.19512195121951,1476
50,10,60,20,494.71911137843955,-30.864208152527006,64.65517241379311,1044
20,20,75,20,493.7247097712226,-42.93310400312132,61.3198900091659,1091
20,30,75,10,493.2903623504803,-55.140143004184395,53.093363329583795,2667
120,35,75,20,486.3353624599185,-57.68117672285401,59.50617283950618,2025
50,20,65,40,484.6915309274011,-59.04021755530958,64.59430979978926,1898
100,35,65,10,483.5535994068997,-52.14497658764656,57.91594703511802,3474
200,10,65,40,481.79557583843575,-43.79436706964338,63.36559940431869,1343
100,15,80,20,481.1646193806022,-49.714394999352734,53.85665529010238,1465
200,30,60,40,477.52961708763166,-50.73617823282734,63.30488750969744,2578
60,10,80,20,475.5914317292328,-38.71896743822966,54.90981963927856,998
20,30,65,20,475.1543446483967,-61.40785235132618,64.68633153302866,2407
60,30,75,10,475.15297288512033,-68.3657634301795,51.44878706199461,2968
200,20,80,20,472.41135752571734,-54.13500333625927,56.07649599012955,1621
20,35,80,40,471.84020039794365,-55.89598682082033,62.11782252050708,1341
200,20,75,20,468.1171294253818,-59.766670238584275,58.620689655172406,1798
20,20,80,40,467.1152782071748,-43.049603428978614,62.86031042128604,902
200,35,60,20,466.4508849350744,-50.078241865468534,63.61420612813371,2872
20,30,70,10,464.20236294590336,-57.63635089994891,56.20099786172488,2806
200,15,80,20,463.12178758593524,-47.20916510921484,54.40484196368527,1487
50,20,60,20,461.74336287178176,-61.256540192802454,64.43569553805774,2286
100,25,65,10,459.9423475226164,-50.3006551880127,57.47809762202753,3196
120,15,75,40,454.59405650202154,-48.20764575575767,62.33148295003965,1261
60,35,70,20,454.53461387789497,-54.983435362939524,62.51626898047722,2305
60,35,65,10,454.1582900195733,-69.56402627678916,57.91121229368241,3514
120,15,65,40,453.1962187724978,-46.294452561571035,63.126491646778035,1676
50,10,70,10,451.7212386349693,-33.00949989881272,54.729109274563825,1089
60,15,75,10,446.46530020367015,-43.58799874206284,51.60177427304091,2029
50,30,75,40,445.8325733393484,-50.34515981258435,62.66924564796905,1551
50,30,65,10,445.4569547907266,-54.48286703883593,58.07416267942583,3344
200,20,60,20,443.420317392568,-56.97419731654063,63.97540983606558,2440
50,25,60,10,441.25153392851837,-50.86608189879328,60.35790112223233,3297
50,10,75,20,441.0610917496443,-36.30737377982068,57.85036880927292,949
