BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2022-01-21,2022-03-03,엠로,058970.KQ,19350.0,17400.0,32672,-66228186.0,-10.463741890624233,41,17.415874635451047,80.43825046755043
2022-12-01,2023-01-27,성광벤드,014620.KQ,14813.45703125,12900.025390625,33173,-65387373.15425748,-13.290874832935245,57,33.8932295526762,71.12852574914142
2021-01-27,2021-03-16,ISC,095340.KQ,22799.03125,20260.484375,24692,-64905052.59165931,-11.516133540986424,48,20.66774958275488,75.64408263723351
2019-04-15,2019-07-03,원익QnC,074600.KQ,14192.4599609375,11753.8935546875,25623,-63850273.98499775,-17.53783416790972,79,31.593778168636888,75.97979965983296
2015-06-12,2015-08-06,주성엔지니어링,036930.KQ,5791.18115234375,4585.0693359375,50727,-62252917.20254493,-21.166752259701134,55,31.957380185457893,70.53281298782281
2018-06-08,2018-08-09,HLB,028300.KQ,43415.484375,35238.76171875,7382,-61548551.21781683,-19.182269634940056,62,26.454909180626274,84.73564906834692
2017-11-20,2018-01-02,넥슨게임즈,225570.KQ,17150.0,13250.0,15389,-60962907.94,-23.072358915527026,43,28.100548312733764,73.73923213410875
2016-09-29,2016-12-08,휴젤,145020.KQ,146831.859375,108065.5859375,1544,-60641428.620771855,-26.717922018785195,70,30.634519049369985,76.45392449098242
2016-06-07,2016-09-21,와이지엔터테인먼트,122870.KQ,42305.29296875,31982.2265625,5764,-60363268.12540233,-24.726059733828816,106,30.452682668013182,73.60138159605675
2022-11-07,2023-01-26,엔켐,348370.KQ,69700.0,61200.0,6763,-59331359.40499997,-12.572249230458137,80,32.9708303305095,81.2561797376658
2018-10-23,2019-01-24,현대바이오,048410.KQ,3645.0,2945.0,81707,-58295370.729500026,-19.551411624231594,93,20.775109120384954,80.27856676073142
2022-05-20,2022-07-18,티씨케이,064760.KQ,127268.5546875,114833.734375,4492,-58139531.11821407,-10.158077304736135,59,29.682375452526017,74.05991179565055
2012-02-16,2012-06-18,에코프로,086520.KQ,2405.322021484375,1511.9168701171875,63101,-56849824.33425723,-37.41282531111735,123,34.2048739225999,71.1530743294227
2021-04-14,2021-06-11,넥스틴,348210.KQ,68744.34375,62320.5234375,8343,-55891308.43625271,-9.733878276039245,58,22.15414829931578,83.75546573103342
2022-08-24,2022-11-01,신성델타테크,065350.KQ,10803.6923828125,9693.859375,47790,-55091973.2207036,-10.658103556201619,69,22.515649423160625,81.33439092163638
