BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2013-07-26,2013-08-09,아난티,025980.KQ,1436.0,1730.0,118856,34099679.4296,19.95609645008519,14,24.052604421002002,72.38838714479891
2023-12-18,2024-01-10,NHN KCP,060250.KQ,9534.392578125,11475.1435546875,114292,216427871.20973158,19.83833288992677,23,25.693714058276967,87.33631064959407
2005-04-28,2005-05-06,에스엠,041510.KQ,5617.3505859375,6757.1025390625,4036,4488060.764382813,19.77319682481416,8,33.879702726501506,78.13557357257193
2025-04-16,2025-04-22,메지온,140410.KQ,32500.0,39050.0,70956,453381699.3299999,19.637778093653832,6,25.65302371797877,77.07514341336997
2021-11-09,2021-11-15,동진쎄미켐,005290.KQ,30745.185546875,36884.4765625,33450,200290168.96343267,19.453029293033172,6,26.319877082459158,79.67980564284994
2014-03-07,2014-03-14,HLB,028300.KQ,1270.0897216796875,1523.2774658203125,146062,36066916.86038095,19.419507990815905,7,29.4563982540528,77.81594081514288
2023-02-02,2023-02-06,인카금융서비스,211050.KQ,1236.837646484375,1478.8662109375,586624,138412626.15089536,19.054784191694,4,31.208580888944326,93.80177781211549
2012-12-07,2012-12-27,케이엠더블유,032500.KQ,5625.0,6725.0,27858,29873456.655,19.0420571897873,20,21.166855702321996,83.39914063263068
2015-06-03,2015-06-09,신성델타테크,065350.KQ,3360.385498046875,4006.783203125,84561,53265979.72481167,18.723694899109738,6,21.828221203164134,77.14047727609922
2024-04-09,2024-05-07,미코,059090.KQ,11180.0,13330.0,133098,278860740.543,18.718665841974037,28,21.950696273013207,82.07790928763521
2020-04-24,2020-05-11,HLB,028300.KQ,39596.9140625,47192.546875,9380,69425505.68674219,18.670490201203048,17,30.506451482147583,87.53874658158682
2011-06-30,2011-07-11,삼천당제약,000250.KQ,2341.12841796875,2787.05810546875,44894,19504564.490800485,18.53632207814717,11,34.77025745770409,79.72061302888044
2010-12-08,2010-12-22,미코,059090.KQ,3331.089111328125,3964.431396484375,26022,16056187.436884865,18.50190106442577,14,19.248689897255417,72.03556998497507
2025-06-04,2025-06-11,디앤디파마텍,347850.KQ,82100.0,97400.0,37514,558912645.3499999,18.12626198507526,7,25.42416150605527,78.08389286554694
2023-09-01,2023-09-11,알테오젠,196170.KQ,43750.0,51900.0,22955,182175528.38750005,18.119054515878176,10,32.70273363498859,87.32902825339032
2024-02-19,2024-02-28,이오테크닉스,039030.KQ,169393.046875,200924.21875,7768,238504466.26521897,18.104751481313382,9,33.163508278530585,81.80019484512951
2012-08-22,2012-08-29,쏠리드,050890.KQ,2922.647216796875,3464.383544921875,50139,26446441.06707561,18.026691266468696,7,28.54075100040174,86.3268311679719
2008-12-26,2009-01-09,유진로봇,056080.KQ,1300.0,1540.0,28133,6573387.982000001,17.952738965574206,14,31.76671777880739,76.76012224936706
2024-02-13,2024-02-20,시노펙스,025320.KQ,6648.52587890625,7873.01611328125,180484,215144946.69790292,17.908859409117664,7,31.027440333913503,78.91260474227501
2018-11-15,2018-11-20,리가켐바이오,141080.KQ,25350.0,30000.0,15758,71326183.90500003,17.834904061512702,5,33.24247296850564,70.28605912456891
2017-11-09,2017-11-23,JYP Ent.,035900.KQ,10241.94921875,12117.2353515625,28935,52816172.38676149,17.801707787842176,14,26.781747613943907,76.25290814627641
2011-03-29,2011-04-18,JYP Ent.,035900.KQ,3462.0673828125,4091.970947265625,28796,17652883.250281394,17.686781718138896,20,27.776200000563108,80.25049319990768
2009-03-30,2009-04-02,우리기술,032820.KQ,825.0,975.0,53398,7795040.039999999,17.67422010142881,3,34.01844581478855,83.45197333684436
